simulation_type,step,active_nodes,avg_ewma_pdr,resilience,redundancy_ratio,cluster_variance
Adaptive_RLNC,0,30,0.9405240376076186,1.0,1.0,0.0
Adaptive_RLNC,1,29,0.8972966135178586,0.9666666666666667,1.0,0.0
Adaptive_RLNC,2,29,0.873074513558628,0.9666666666666667,1.0,0.0
Adaptive_RLNC,3,28,0.8594183813540454,0.9333333333333333,1.0,0.0
Adaptive_RLNC,4,27,0.8444811039759368,0.9,0.42857142857142855,0.0
Adaptive_RLNC,5,26,0.833816534820027,0.8666666666666667,0.42857142857142855,0.0
Adaptive_RLNC,6,24,0.8220944409762959,0.8,0.5,0.0
Adaptive_RLNC,7,24,0.8254515507463923,0.8,0.5,0.0
Adaptive_RLNC,8,24,0.8201413945487775,0.8,0.5,0.0
Adaptive_RLNC,9,24,0.8147665474361813,0.8,0.46153846153846156,0.0021331913180435936
Adaptive_RLNC,10,23,0.8144419452187942,0.7666666666666667,0.5454545454545454,0.0021678694833044106
Adaptive_RLNC,11,23,0.8223599657380182,0.7666666666666667,0.5454545454545454,0.002300901322399059
Adaptive_RLNC,12,23,0.8176507663288376,0.7666666666666667,0.5454545454545454,0.0027293963157870227
Adaptive_RLNC,13,23,0.8208165252009723,0.7666666666666667,0.5454545454545454,0.0029986836442739153
Adaptive_RLNC,14,23,0.8165290503762871,0.7666666666666667,0.5625,0.0029336635287801572
Adaptive_RLNC,15,22,0.8109583427274303,0.7333333333333333,0.5,0.0026340168422087054
Adaptive_RLNC,16,20,0.7987857570529211,0.6666666666666666,0.5714285714285714,0.002735437639626055
Adaptive_RLNC,17,20,0.8030160505976299,0.6666666666666666,0.5714285714285714,0.0025249957972723076
Adaptive_RLNC,18,20,0.7980061323203265,0.6666666666666666,0.5714285714285714,0.0032080688455011037
Adaptive_RLNC,19,17,0.8119856059347198,0.5666666666666667,0.5882352941176471,0.0018012822295117852
Adaptive_RLNC,20,17,0.8080893693582213,0.5666666666666667,0.5882352941176471,0.002097929056483227
Adaptive_RLNC,21,16,0.7956572135173049,0.5333333333333333,0.5882352941176471,0.0015900251246054001
Adaptive_RLNC,22,16,0.8015960814814505,0.5333333333333333,0.5882352941176471,0.0020400906836399494
Adaptive_RLNC,23,16,0.798720348342707,0.5333333333333333,0.5882352941176471,0.0016293449630158732
Adaptive_RLNC,24,16,0.8008395816868983,0.5333333333333333,0.65,0.0018484326410295945
Adaptive_RLNC,25,16,0.795421497784567,0.5333333333333333,0.65,0.002007627396022528
Adaptive_RLNC,26,16,0.7972067573706818,0.5333333333333333,0.65,0.002179479594987279
Adaptive_RLNC,27,15,0.8026722587137407,0.5,0.6666666666666666,0.002217189346770088
Adaptive_RLNC,28,15,0.7984406114729302,0.5,0.6666666666666666,0.0024667434263250902
Adaptive_RLNC,29,15,0.7969656013402288,0.5,0.6,0.0012845758771269974
Adaptive_RLNC,30,14,0.7900977673903808,0.4666666666666667,0.6818181818181818,0.0014111790070494067
Adaptive_RLNC,31,14,0.7905409647333138,0.4666666666666667,0.6818181818181818,0.0017381498951792955
Adaptive_RLNC,32,14,0.7960116830145727,0.4666666666666667,0.6818181818181818,0.0020762402030384455
Adaptive_RLNC,33,14,0.8034880862052244,0.4666666666666667,0.6818181818181818,0.0017663030712884188
Adaptive_RLNC,34,14,0.8041795014569935,0.4666666666666667,0.72,0.002127389966496962
Adaptive_RLNC,35,14,0.8045324391770032,0.4666666666666667,0.72,0.0022862384921043823
